X,Y,Z
2.96199,-2.82218,1.59732
2.68448,-2.58943,1.45889
2.59037,-2.52953,1.41703
2.57945,-2.54997,1.41954
2.6093,-2.61132,1.44422
3.07478,-3.11506,1.70678
3.05039,-3.12852,1.70392
3.10176,-3.22048,1.74291
3.19887,-3.40392,1.81946
3.10867,-3.34889,1.78047
3.02621,-3.30045,1.74542
2.98333,-3.29404,1.73254
3.01287,-3.36796,1.76116
2.94639,-3.3346,1.73469
2.78086,-3.22622,1.66171
2.75254,-3.23327,1.6567
2.85646,-3.39733,1.73039
2.7568,-3.31997,1.68317
2.58003,-3.1462,1.58874
2.52483,-3.11771,1.56692
2.53423,-3.16888,1.58444
2.51474,-3.18437,1.58444
2.7691,-3.55097,1.75508
2.66935,-3.64856,1.76187
2.90228,-4.01839,1.92893
2.83581,-4.08263,1.93429
2.01749,-3.10373,1.44815
1.9616,-3.05867,1.42204
1.92831,-3.04777,1.41167
1.90388,-3.13542,1.43528
1.83038,-3.05652,1.39486
1.83107,-3.10066,1.40952
1.47925,-2.54052,1.15626
1.4469,-2.5204,1.14338
1.74746,-3.08752,1.38913
1.47228,-2.63908,1.18774
1.67794,-3.05145,1.36409
1.71303,-3.16103,1.40738
1.6738,-3.13441,1.39128
1.39533,-2.65211,1.17808
1.25352,-2.41854,1.07363
1.77128,-3.46908,1.5222
1.72856,-3.43733,1.50396
1.50392,-3.03701,1.32832
1.15449,-2.368,1.03929
1.52197,-3.32626,1.43134
1.36312,-3.02815,1.30221
0.987889,-2.2313,0.96488
0.982757,-2.25701,0.973108
1.41084,-3.29479,1.40308
1.10901,-2.63467,1.12514
1.38209,-3.34033,1.41489
1.41223,-3.47331,1.4664
1.40128,-3.50793,1.47713
0.913005,-2.32729,0.987774
0.914828,-2.37467,1.00494
1.30343,-3.44579,1.44136
1.01957,-2.74639,1.15232
1.23546,-3.39133,1.41274
0.931719,-2.60745,1.0908
1.1607,-3.31194,1.37447
1.10272,-3.2095,1.33011
1.0511,-3.12151,1.29183
0.965787,-2.92749,1.21099
0.916785,-2.83739,1.17236
0.881606,-2.78688,1.14982
0.830505,-2.68251,1.10582
0.680776,-2.29855,0.948425
0.712131,-2.45965,1.01103
0.722458,-2.55383,1.0468
0.610486,-2.20989,0.908361
0.611998,-2.26949,0.93054
0.881929,-3.35146,1.35765
0.88155,-3.4355,1.38877
0.773195,-3.09206,1.25105
0.570267,-2.34189,0.953433
0.689073,-2.90687,1.1745
0.670174,-2.9065,1.17271
0.539529,-2.40757,0.975254
0.760662,-3.4939,1.39986
0.727814,-3.4446,1.37876
0.522123,-2.63076,1.05753
0.499625,-2.6009,1.04465
0.481779,-2.59381,1.04072
0.464865,-2.59121,1.03857
0.451347,-2.60781,1.04394
0.442563,-2.65382,1.06075
0.425975,-2.65465,1.06003
0.412527,-2.67567,1.06719
0.476516,-3.22132,1.27752
0.427771,-3.01985,1.19847
0.423029,-3.12421,1.23782
0.347098,-2.68776,1.06826
0.292622,-2.38121,0.949141
0.280931,-2.408,0.958799
0.243496,-2.48339,0.985986
0.172534,-2.17095,0.864362
0.144124,-2.14682,0.854346
0.131348,-2.15419,0.85685
0.01716,-2.99765,1.17844
-0.00123785,-3.01264,1.18416
-0.0191416,-2.922,1.14946
-0.0374689,-2.95358,1.16162
-0.0738269,-2.95756,1.16341
-6.65864,-3.24712,2.86793
-6.78579,-3.20666,2.90513
-7.03418,-2.9109,2.94627
-7.04759,-2.86593,2.94448
-6.68528,-2.25159,2.73236
-6.66183,-2.01838,2.69658
-6.70543,-1.98675,2.7091
-6.70942,-1.94323,2.70588
-6.75356,-1.91118,2.71876
-6.92087,-1.91275,2.78065
-6.89371,-1.85979,2.76527
-7.12857,-1.82962,2.84933
-7.08803,-1.77293,2.82894
4.45094,-2.28041,1.8823
4.43105,-2.30465,1.87987
4.32063,-2.28098,1.83958
4.34127,-2.32606,1.85417
4.32362,-2.35086,1.85278
4.28695,-2.36511,1.8434
4.28872,-2.40054,1.85035
4.29348,-2.43792,1.85868
4.27275,-2.46094,1.85625
4.33367,-2.5316,1.8889
4.14475,-2.4899,1.82083
4.12379,-2.51187,1.8184
3.62166,-2.23643,1.60657
4.21901,-2.64143,1.87362
4.2336,-2.68688,1.88716
4.26198,-2.74173,1.90695
4.28592,-2.79448,1.92501
4.27495,-2.82486,1.92779
4.28558,-2.86983,1.94029
4.24151,-2.87816,1.92848
4.1666,-2.8648,1.90279
4.29435,-2.99166,1.96842
4.39005,-3.09855,2.02016
4.55064,-3.29636,2.11114
4.3315,-3.21934,2.02884
4.4083,-3.31864,2.07364
2.92572,-2.23029,1.39266
2.90901,-2.24591,1.39127
2.89444,-2.26314,1.39092
2.87535,-2.27678,1.38849
3.23143,-2.59134,1.5642
2.83555,-2.30243,1.38293
2.85468,-2.34719,1.39891
3.54963,-2.99275,1.74964
2.91398,-2.54979,1.46419
3.19793,-2.83325,1.61247
2.99147,-2.81872,1.5524
2.95328,-2.85196,1.55066
2.86534,-2.80117,1.5142
2.60355,-2.57653,1.38675
2.57511,-2.57985,1.38016
3.29509,-3.3424,1.7684
3.21172,-3.29804,1.73506
3.23822,-3.36636,1.76006
3.21492,-3.38344,1.75867
3.21592,-3.42636,1.77048
2.93924,-3.1702,1.63123
2.9305,-3.19993,1.63713
2.94037,-3.25055,1.65345
2.96596,-3.31959,1.6788
2.92383,-3.31311,1.66665
2.84,-3.25816,1.63088
2.80221,-3.25491,1.62081
2.69231,-3.16628,1.56941
2.69213,-3.20573,1.58053
2.82202,-3.40268,1.66734
2.80465,-3.42429,1.66943
2.7093,-3.34955,1.62567
2.67349,-3.34705,1.61664
2.64593,-3.35456,1.61247
2.60111,-3.33965,1.59789
2.71772,-3.53399,1.68123
3.10926,-4.09517,1.93439
3.08969,-4.12168,1.93786
3.03925,-4.10663,1.92223
2.99132,-4.09415,1.90799
2.95572,-4.09798,1.9014
2.94955,-4.14278,1.91355
2.94133,-4.18536,1.92466
2.98291,-4.30043,1.96842
1.56314,-2.34359,1.07352
1.53328,-2.32963,1.0631
1.5067,-2.32011,1.05477
1.97577,-3.08437,1.38675
